BHID,FROM,TO,INTERVAL,ZN,PB,FE,AG,XCOLLAR,YCOLLAR,ZCOLLAR,LENGTH,BRG,DIP
3245/100,129.24,129.4,0.16,4.78,0.2,6.56,2.0,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,129.24,129.4,0.16,4.78,0.2,6.56,2.0,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,129.4,130.8,1.4,7.73,0.39,1.82,1.0,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,129.4,130.8,1.4,7.73,0.39,1.82,1.0,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,130.8,131.11,0.31,3.29,0.13,0.94,0.1,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,130.8,131.11,0.31,3.29,0.13,0.94,0.1,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,131.11,131.76,0.65,0.81,0.08,1.24,1.0,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,131.11,131.76,0.65,0.81,0.08,1.24,1.0,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,131.76,133.2,1.44,1.51,0.08,0.51,0.1,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,131.76,133.2,1.44,1.51,0.08,0.51,0.1,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,133.2,134.0,0.8,0.75,0.1,0.78,0.1,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,133.2,134.0,0.8,0.75,0.1,0.78,0.1,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,134.0,134.63,0.63,1.33,0.16,1.07,0.1,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,134.0,134.63,0.63,1.33,0.16,1.07,0.1,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,134.63,135.73,1.1,3.13,0.17,1.53,0.1,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/100,134.63,135.73,1.1,3.13,0.17,1.53,0.1,228746.491,172157.535,1135.35,152.0,0.0,90.0
3245/101,122.15,122.6,0.45,16.56,0.13,31.66,11.0,228746.491,172057.152,1134.86,157.4,0.0,90.0
3245/101,122.15,122.6,0.45,16.56,0.13,31.66,11.0,228746.491,172057.152,1134.86,157.4,270.0,89.0
3245/101,122.6,123.5,0.9,1.48,0.1,44.24,4.0,228746.491,172057.152,1134.86,157.4,0.0,90.0
3245/101,122.6,123.5,0.9,1.48,0.1,44.24,4.0,228746.491,172057.152,1134.86,157.4,270.0,89.0
3245/101,123.5,124.4,0.9,19.54,1.35,31.86,9.0,228746.491,172057.152,1134.86,157.4,0.0,90.0
